nb_iterations,nb_mois_entrainement,Rendement total (%),Rendement annualisé (%),Volatilité annualisée (%),Max Drawdown (%),Écart annuel de performance (%),Écart moyen (vs action) / capital initial (%),resultats_path,param_path
1550,1,8.20803150694509,4.192771212869961,57.439947829101854,-56.14342538285094,-10.488629602275257,20.233814291663357,df_historique_saves_2\df_1550_iter_1_mois.csv,df_historique_param_2\df_params_1550_iter_1_mois.csv
1575,1,59.5532131364207,27.539597131942028,57.87225083378754,-58.73327667461663,12.85819631679681,32.02043625656384,df_historique_saves_2\df_1575_iter_1_mois.csv,df_historique_param_2\df_params_1575_iter_1_mois.csv
1600,1,85.57922533290159,37.97894055450581,57.64042609624921,-60.58774665549177,23.297539739360595,19.772599302291653,df_historique_saves_2\df_1600_iter_1_mois.csv,df_historique_param_2\df_params_1600_iter_1_mois.csv
1625,1,55.22481749183945,25.72627757182646,56.853471843652706,-47.89168955912471,11.044876756681244,55.64794358692723,df_historique_saves_2\df_1625_iter_1_mois.csv,df_historique_param_2\df_params_1625_iter_1_mois.csv
1650,1,222.24301782383768,83.90410248110058,55.26519392613738,-48.20889637453,69.22270166595537,86.65118030447051,df_historique_saves_2\df_1650_iter_1_mois.csv,df_historique_param_2\df_params_1650_iter_1_mois.csv
1675,1,-14.826730535055809,-8.01613686099284,57.49627084466608,-56.22872784230098,-22.697537676138058,2.299467430385728,df_historique_saves_2\df_1675_iter_1_mois.csv,df_historique_param_2\df_params_1675_iter_1_mois.csv
1700,1,86.54615350873844,38.352785546459046,56.07425832676156,-53.011099505348334,23.67138473131383,36.67045001280353,df_historique_saves_2\df_1700_iter_1_mois.csv,df_historique_param_2\df_params_1700_iter_1_mois.csv
1725,1,20.581384836683124,10.234992784281216,57.604940889377296,-48.86768323491428,-4.446408030864002,28.300652635472485,df_historique_saves_2\df_1725_iter_1_mois.csv,df_historique_param_2\df_params_1725_iter_1_mois.csv
1750,1,142.69017723721643,58.665214564642596,53.65070940344996,-38.218659773016036,43.98381374949738,84.21498112442092,df_historique_saves_2\df_1750_iter_1_mois.csv,df_historique_param_2\df_params_1750_iter_1_mois.csv
175,1,68.71681699821013,31.30236286189998,54.65031484332623,-52.67241544349112,16.620962046754762,70.4959268165801,df_historique_saves_2\df_175_iter_1_mois.csv,df_historique_param_2\df_params_175_iter_1_mois.csv
1775,1,111.58097930335069,47.728073767872445,55.036747605119864,-51.517074778897864,33.04667295272723,43.01530336814282,df_historique_saves_2\df_1775_iter_1_mois.csv,df_historique_param_2\df_params_1775_iter_1_mois.csv
1800,1,35.90273735849892,17.31856739032258,57.81909855915713,-53.135585784839556,2.637166575177363,27.22596159059692,df_historique_saves_2\df_1800_iter_1_mois.csv,df_historique_param_2\df_params_1800_iter_1_mois.csv
1825,1,286.37670431754344,102.13140369783255,57.26712865009389,-40.15287411443546,87.45000288268734,85.70806922435087,df_historique_saves_2\df_1825_iter_1_mois.csv,df_historique_param_2\df_params_1825_iter_1_mois.csv
